t=2022-11-29T19:03:59+0000 lvl=info msg="starting web service" obj=web addr=0.0.0.0:4040
t=2022-11-29T19:04:00+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-11-29T19:04:00+0000 lvl=info msg="client session established" obj=csess id=07c1d439cd00
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://backend:5111 url=http://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://backend:5111 url=https://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:05:32+0000 lvl=info msg="join connections" obj=join id=3d018501706d l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:32+0000 lvl=info msg="join connections" obj=join id=54c520eca609 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:33+0000 lvl=info msg="join connections" obj=join id=9257b8c317a3 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:33+0000 lvl=info msg="join connections" obj=join id=124090cbd41d l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:34+0000 lvl=info msg="join connections" obj=join id=e38cecfc41fa l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:34+0000 lvl=info msg="join connections" obj=join id=0a6d2e2c4706 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:34+0000 lvl=info msg="join connections" obj=join id=d99ce749de0d l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:35+0000 lvl=info msg="join connections" obj=join id=197015616cd5 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:36+0000 lvl=info msg="join connections" obj=join id=97d31d2cc27f l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:36+0000 lvl=info msg="join connections" obj=join id=b50ce7d8b8ec l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:36+0000 lvl=info msg="join connections" obj=join id=35857490fa95 l=172.24.0.3:5111 r=34.196.237.253:49115
t=2022-11-29T19:05:36+0000 lvl=info msg="join connections" obj=join id=42355072ff74 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:37+0000 lvl=info msg="join connections" obj=join id=6aa5f4f0e392 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:37+0000 lvl=info msg="join connections" obj=join id=3c4ef80b3367 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:37+0000 lvl=info msg="join connections" obj=join id=c795ef33bc20 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:38+0000 lvl=info msg="join connections" obj=join id=5f4043913474 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:38+0000 lvl=info msg="join connections" obj=join id=8cdea9da5eaf l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:39+0000 lvl=info msg="join connections" obj=join id=800147f1ffa3 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:39+0000 lvl=info msg="join connections" obj=join id=a0125c070f7a l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:40+0000 lvl=info msg="join connections" obj=join id=fd12bdb620b4 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:40+0000 lvl=info msg="join connections" obj=join id=8737794b9420 l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:40+0000 lvl=info msg="join connections" obj=join id=e25868f429d9 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:41+0000 lvl=info msg="join connections" obj=join id=cef3a3b5dc24 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:05:41+0000 lvl=info msg="join connections" obj=join id=87fed79dbe4a l=172.24.0.3:5111 r=34.196.237.253:5910
t=2022-11-29T19:05:42+0000 lvl=info msg="join connections" obj=join id=b103dff44e09 l=172.24.0.3:5111 r=34.196.237.253:65451
